campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-01,450.50,125000,1500,0.0120,45,1350.00,2.997,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-02,455.20,128000,1536,0.0120,48,1440.00,3.163,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-03,460.00,130000,1560,0.0120,47,1410.00,3.065,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-04,465.30,132000,1584,0.0120,50,1500.00,3.224,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-05,470.00,135000,1620,0.0120,52,1560.00,3.319,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-06,475.50,138000,1656,0.0120,54,1620.00,3.407,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-07,480.00,140000,1680,0.0120,55,1650.00,3.438,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-08,420.00,115000,1035,0.0090,31,930.00,2.214,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-09,425.00,118000,1062,0.0090,32,960.00,2.259,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
Undergarments_Female_18-30,Female_Fashion_Interest,2024-01-10,430.00,120000,1080,0.0090,33,990.00,2.302,image,Comfort meets style - Shop now!,female_18_30_interest_fashion,Facebook,US
